#CMD# netstat -a
#TSP#  20090108-170059 
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address               Foreign Address             State      
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55403 ESTABLISHED 
tcp        0      0 casdlsup06:54713            casdlsup06:FLS520_IO_I      ESTABLISHED 
tcp        0      0 casdlsup06:53527            casdlsup06:FLS520_IO_S      ESTABLISHED 
tcp        0      0 casdlsup06:52004            casdlsup06:39109            ESTABLISHED 
tcp        0      0 casdlsup06:52004            casdlsup06:39108            ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_I localhost.localdomain:42351 ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55408 ESTABLISHED 
tcp        0      0 casdlsup06:TST540_IO_A      casdlsup06:36725            ESTABLISHED 
tcp        0      0 casdlsup06:TST511_IO_X      calpmvhe.orsypgroup.c:spocp ESTABLISHED 
tcp        0      0 localhost.local:FLS520_IO_I localhost.localdomain:58439 ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_X      casdlsup06:48248            ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55416 ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_I localhost.localdomain:42360 ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55417 ESTABLISHED 
tcp        0      0 localhost.localdomain:44159 localhost.local:TST520_IO_I ESTABLISHED 
tcp      336      0 localhost.local:TST511_IO_X localhost.localdomain:54341 ESTABLISHED 
tcp        0      0 casdlsup06:36725            casdlsup06:TST540_IO_A      ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_X      casdlsup06:48253            ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55423 ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_I localhost.localdomain:42367 ESTABLISHED 
tcp        0      0 localhost.local:TST520_IO_I localhost.localdomain:44159 ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_I localhost.localdomain:42304 ESTABLISHED 
tcp        0      0 localhost.local:TST540_IO_X localhost.localdomain:42819 ESTABLISHED 
tcp        0      0 casdlsup06:TST511_IO_X      calpmwzh.orsypgroup.co:2212 ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_A localhost.localdomain:59002 ESTABLISHED 
tcp        0      0 localhost.localdomain:37102 localhost.local:FLS510_IO_X ESTABLISHED 
tcp        0      0 localhost.local:TST540_IO_X localhost.localdomain:42823 ESTABLISHED 
tcp        0      0 casdlsup06:TST511_IO_X      calpmwzh.orsypgroup.:ipcore ESTABLISHED 
tcp        0      0 casdlsup06:TST540_IO_X      casdlsup06:47947            ESTABLISHED 
tcp        0      0 casdlsup06:47947            casdlsup06:TST540_IO_X      ESTABLISHED 
tcp        0      0 localhost.local:TST540_IO_X localhost.localdomain:42827 ESTABLISHED 
tcp        0      0 casdlsup06:PRE530_CDJ_A     support7:casanswmgmt        ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_A localhost.localdomain:58997 ESTABLISHED 
tcp        0      0 localhost.local:TST540_IO_A localhost.localdomain:44366 ESTABLISHED 
tcp        0      0 localhost.local:FLS520_IO_X localhost.localdomain:44400 ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_A localhost.localdomain:58991 ESTABLISHED 
tcp        0      0 localhost.localdomain:42823 localhost.local:TST540_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:42819 localhost.local:TST540_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:42827 localhost.local:TST540_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:42815 localhost.local:TST540_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:42810 localhost.local:TST540_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:42809 localhost.local:TST540_IO_X ESTABLISHED 
tcp        0      0 localhost.locald:TST500_DQM localhost.localdomain:35943 ESTABLISHED 
tcp        0      0 localhost.localdomain:58439 localhost.local:FLS520_IO_I ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55387 ESTABLISHED 
tcp        0      0 localhost.loca:PRE530_DQM_X localhost.localdomain:60507 ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55388 ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_X      casdlsup06:48220            ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_X      casdlsup06:48221            ESTABLISHED 
tcp        0      0 localhost.localdomain:44366 localhost.local:TST540_IO_A ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_X      casdlsup06:48222            ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55391 ESTABLISHED 
tcp        0      0 localhost.localdomain:39940 localhost.local:FLS520_IO_A ESTABLISHED 
tcp        0      0 localhost.local:TST511_IO_X localhost.localdomain:54300 ESTABLISHED 
tcp        0      0 casdlsup06:TST530_CDJ_X     casdlsup06:57382            ESTABLISHED 
tcp        0      0 casdlsup06:FLS520_IO_S      casdlsup06:53527            ESTABLISHED 
