#CMD# top -bn3
#TSP#  20090108-170153 
top - 17:01:53 up 22 days,  7:34,  5 users,  load average: 0.53, 0.32, 0.29
Tasks: 235 total,   2 running, 233 sleeping,   0 stopped,   0 zombie
Cpu(s):  6.2% us,  1.9% sy,  0.1% ni, 90.7% id,  0.5% wa,  0.0% hi,  0.7% si,  0
Mem:    969688k total,   953648k used,    16040k free,    57756k buffers
Swap:  1052248k total,      124k used,  1052124k free,   340304k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 2366 root      17   0 13300 2356 1808 S    0  0.2   0:00.00 gdm-binary         
 2369 root      15   0 80184 7612 3496 S    0  0.8   4:35.57 Xorg               
 2371 root      15   0 17152 1796 1396 S    0  0.2   0:00.04 dcopserver         
 2382 root      15   0 27976 7668 6656 S    0  0.8   0:06.80 klauncher          
 2396 root      15   0 32460  12m  10m S    0  1.3   0:14.01 kded               
 2409 gdm       15   0 25796  13m 8644 S    0  1.4   3:03.18 gdmgreeter         
 2412 gdm       17   0  7308 2632 2148 S    0  0.3   0:00.05 bonobo-activati    
 2418 root      15   0  1580  308  256 S    0  0.0   1:09.34 kwrapper           
 2420 root      15   0 24140 6332 5172 S    0  0.7   0:00.05 ksmserver          
 2421 root      15   0 25448  10m 9588 S    0  1.2   0:00.17 kwin               
 2423 root      15   0 30792  12m  10m S    0  1.3   0:01.43 kdesktop           
 2425 root      15   0 32724  13m  11m S    0  1.5   3:57.22 kicker             
 2426 root      15   0 28368 6940 5472 S    0  0.7   0:00.00 kio_file           
 2432 root     -51   0 10124 5820 4344 S    0  0.6   7:23.36 artsd              
 2434 root      16   0 24228 7532 6340 S    0  0.8   0:00.03 kaccess            
 2436 root      15   0 32120  14m  11m S    0  1.5   0:00.22 konsole            
 2441 root      21   0  4580 1476 1208 S    0  0.2   0:00.01 bash               
 2523 root      10  -5     0    0    0 S    0  0.0   0:22.82 rpciod/0           
 2524 root      10  -5     0    0    0 S    0  0.0   0:00.00 rpciod/1           
 2525 root      16   0     0    0    0 S    0  0.0   0:00.00 lockd              
32206 root      24   0  224m  49m  10m S    0  5.2  20:42.38 java               
15983 univa     16   0 73912 3768 1728 S    0  0.4 490:08.78 uxioserv           
15988 univa     16   0 73720 3424 1724 S    0  0.4   0:30.65 uxioserv           
15991 univa     15   0 83956 3504 1724 S    0  0.4   0:34.76 uxioserv           
15994 root      15   0 20860 8516 1680 S    0  0.9   1:11.61 uxdqmsrv           
16008 univa     15   0 20528 2204 1404 S    0  0.2   0:12.12 uxbvssrv           
16020 univa     15   0 20524 2204 1404 S    0  0.2   0:11.77 uxbvssrv           
16021 univa     16   0 16584 2232 1512 S    0  0.2   0:14.18 uxcdjsrv           
16024 univa     15   0 26716 2172 1524 S    0  0.2   0:12.98 uxcdjsrv           
16026 univa     15   0 16472 2120 1512 S    0  0.2   0:12.77 uxcdjsrv           
16028 univa     15   0 20272 5920 1512 S    0  0.6   0:19.00 uxcdjsrv           
16036 univa     15   0 20528 2204 1404 S    0  0.2   0:12.12 uxbvssrv           
16046 univa     15   0 20524 2200 1404 S    0  0.2   0:12.28 uxbvssrv           
